Lane,Sample,Index
*,R010_LMO_JPC_GEX,SI-TT-F3
*,R010_HTO_JPC_GEX,SI-TT-F4
*,R010_CMO_JPC_GEX,SI-TT-F5
*,JW_CRISPR_GEX,SI-TT-A7
