GeneID,Guide_Hit,Overlap_Targeted_gene
S100A8,TRUE,TRUE
PPBP,TRUE,TRUE
GAS5,TRUE,FALSE
TRBC2,FALSE,FALSE
MTRNR2L12,TRUE,FALSE
EIF3E,TRUE,FALSE
EIF3F,TRUE,FALSE
CUTA,TRUE,FALSE
SEC61G,TRUE,FALSE
MT-ND4L,FALSE,FALSE
DBI,TRUE,FALSE
SERPINA1,TRUE,FALSE
C18orf32,TRUE,TRUE
IFITM1,TRUE,FALSE
MTRNR2L8,TRUE,FALSE
MTCH1,TRUE,TRUE
HSPB1,TRUE,FALSE
MT-ATAP8,FALSE,FALSE
HNRNPH2,TRUE,TRUE
DNAJB1,TRUE,FALSE
EIF3I,TRUE,FALSE
