Lane,Sample,Index
*,R010_LMO_JPC_GEX,SI-TT-F3
*,R010_HTO_JPC_GEX,SI-TT-F4
*,R010_CMO_JPC_GEX,SI-TT-F5
*,R010_HTO_UTD_GEX,SI-TT-B7
*,R010_LMO_UTD_GEX,SI-TT-B9
*,R010_CMO_UTD_GEX,SI-TT-B8
