Lane,Sample,Index
*,R010_PDX_UTD_GEX,SI-TT-E12
*,R010_PDX_CMO_GEX,SI-TT-D4
*,R010_PDX_NXT_GEX,SI-TT-D5
*,R010_PDX_HTO_GEX,SI-TT-D6
*,R010_PDX_CMO_TAG,SI-NN-D1
*,R010_PDX_NXT_TAG,SI-NN-E1
*,R010_PDX_UTD_FIX,SI-TS-E2
*,G000254_AGI_UTD_FIX,SI-TS-E1
